No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
0,Cleavon Lasten,P,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/cleavonlastenid5t,cleavonlastenid5t,Genesee,2021-22,div3,geneseecommunitycollege,2022
1,Anthony Hampton,OF,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/anthonyhamptonb2tp,anthonyhamptonb2tp,Genesee,2021-22,div3,geneseecommunitycollege,2022
2,Ethan Cova,INF,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/ethancovaxs9x,ethancovaxs9x,Genesee,2021-22,div3,geneseecommunitycollege,2022
3,Girvin Finch,INF,So.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/girvinfinchmwiq,girvinfinchmwiq,Genesee,2021-22,div3,geneseecommunitycollege,2022
7,Victor Alongi,IF,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/victoralongirxxl,victoralongirxxl,Genesee,2021-22,div3,geneseecommunitycollege,2022
8,Christian Lopez,OF,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/christianlopez4zd2,christianlopez4zd2,Genesee,2021-22,div3,geneseecommunitycollege,2022
9,Jose Navarro,OF,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/josenavarroq5of,josenavarroq5of,Genesee,2021-22,div3,geneseecommunitycollege,2022
10,Zavian Crosby,INF,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/zaviancrosbysdnq,zaviancrosbysdnq,Genesee,2021-22,div3,geneseecommunitycollege,2022
11,Pierce Mehigan,P,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/piercemehigang2m0,piercemehigang2m0,Genesee,2021-22,div3,geneseecommunitycollege,2022
12,Casey Funk,C,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/caseyfunkd7wx,caseyfunkd7wx,Genesee,2021-22,div3,geneseecommunitycollege,2022
13,Jowendley Allee,3B,So.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/jowendleyalleelxpg,jowendleyalleelxpg,Genesee,2021-22,div3,geneseecommunitycollege,2022
14,Matthew Skehan,P,So.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/matthewskehany2uy,matthewskehany2uy,Genesee,2021-22,div3,geneseecommunitycollege,2022
16,Tyrone Woods,P,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/tyronewoods40ay,tyronewoods40ay,Genesee,2021-22,div3,geneseecommunitycollege,2022
17,Zach Hosmer,OF,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/zachhosmermkge,zachhosmermkge,Genesee,2021-22,div3,geneseecommunitycollege,2022
18,Kade Burkovich,OF,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/kadeburkovichxgw8,kadeburkovichxgw8,Genesee,2021-22,div3,geneseecommunitycollege,2022
22,Korey Canton,P,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/koreycantonuseu,koreycantonuseu,Genesee,2021-22,div3,geneseecommunitycollege,2022
23,Wilfredo Perez,C,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/wilfredoperez32fc,wilfredoperez32fc,Genesee,2021-22,div3,geneseecommunitycollege,2022
24,Jose Carpena,INF,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/josecarpenaq0xk,josecarpenaq0xk,Genesee,2021-22,div3,geneseecommunitycollege,2022
27,Moises Garcia,INF,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/moisesgarcia2im0,moisesgarcia2im0,Genesee,2021-22,div3,geneseecommunitycollege,2022
29,Shane Quant,1B,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/shanequantq1mg,shanequantq1mg,Genesee,2021-22,div3,geneseecommunitycollege,2022
30,Chris Groenemans,OF,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/chrisgroenemans9o7d,chrisgroenemans9o7d,Genesee,2021-22,div3,geneseecommunitycollege,2022
31,Michael Delgado,P,Fr.,https://www.njcaa.org/sports/bsb/2021-22/div3/players/michaeldelgado32cz,michaeldelgado32cz,Genesee,2021-22,div3,geneseecommunitycollege,2022
