No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
2,Tyler Sutherland,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/tylersutherlandlr2c,tylersutherlandlr2c,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
3,Connor Goedert,,So,https://www.njcaa.org//sports/bsb/2013-14/div1/players/connorgoedertslro,connorgoedertslro,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
4,Justin Warne,,So,https://www.njcaa.org//sports/bsb/2013-14/div1/players/justinwarnepq0x,justinwarnepq0x,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
5,Spencer Ibarra,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/spenceribarrac9hv,spenceribarrac9hv,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
6,Brady Childs,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/bradychildsfarx,bradychildsfarx,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
7,Brett Kendig,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/brettkendigt9hp,brettkendigt9hp,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
8,Colby Smith,,So,https://www.njcaa.org//sports/bsb/2013-14/div1/players/colbysmith1z53,colbysmith1z53,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
9,Dylan Christie,,So,https://www.njcaa.org//sports/bsb/2013-14/div1/players/dylanchristieku33,dylanchristieku33,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
10,Colton Crocker,,So,https://www.njcaa.org//sports/bsb/2013-14/div1/players/coltoncrockeriofy,coltoncrockeriofy,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
11,Andy Young,,So,https://www.njcaa.org//sports/bsb/2013-14/div1/players/andyyoung1vm0,andyyoung1vm0,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
12,Jake Johnson,,So,https://www.njcaa.org//sports/bsb/2013-14/div1/players/jakejohnsonzojr,jakejohnsonzojr,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
13,Blake Gooden,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/blakegooden4123,blakegooden4123,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
14,Nathan Whitcomb,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/nathanwhitcombgbk7,nathanwhitcombgbk7,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
15,Casey Quinlan,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/caseyquinlanjera,caseyquinlanjera,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
16,Tucker Fox,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/tuckerfoxfb21,tuckerfoxfb21,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
17,Tony Lane,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/tonylanehqkx,tonylanehqkx,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
18,Trever Burkdoll,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/treverburkdollzv76,treverburkdollzv76,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
20,Connor Dawson,,So,https://www.njcaa.org//sports/bsb/2013-14/div1/players/connordawsonteus,connordawsonteus,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
21,Josh Willis,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/joshwillis4pow,joshwillis4pow,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
23,Craig Johnson,,So,https://www.njcaa.org//sports/bsb/2013-14/div1/players/craigjohnsonw0fq,craigjohnsonw0fq,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
25,Brandon Martinkus,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/brandonmartinkusv6ir,brandonmartinkusv6ir,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
27,Shane Hummel,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/shanehummeluicx,shanehummeluicx,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
30,Matt Slauter,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/mattslauter9ko2,mattslauter9ko2,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
31,Adam Fritts,,So,https://www.njcaa.org//sports/bsb/2013-14/div1/players/adamfrittsdkm6,adamfrittsdkm6,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
32,Garrett Spears,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/garrettspears2ezl,garrettspears2ezl,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
37,Cody Hutchinson,,So,https://www.njcaa.org//sports/bsb/2013-14/div1/players/codyhutchinsonq1p6,codyhutchinsonq1p6,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
42,Jake Golden,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/jakegoldenqi1c,jakegoldenqi1c,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
45,Jared Henderson,,Fr,https://www.njcaa.org//sports/bsb/2013-14/div1/players/jaredhendersonzasg,jaredhendersonzasg,Neosho County,2013-14,div1,neoshocountycommunitycollege,2014
