No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
1,Isaiah Tosado,RHP,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/isaiahtosador4gx,isaiahtosador4gx,USC Union,2019-20,div1,uscunion,2020
2,Justin Kerosetz,OF,So,https://www.njcaa.org/sports/bsb/2019-20/div1/players/justinkerosetzfvrf,justinkerosetzfvrf,USC Union,2019-20,div1,uscunion,2020
3,Noah Jordan,C,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/noahjordanic5p,noahjordanic5p,USC Union,2019-20,div1,uscunion,2020
4,Payne Curley,OF,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/paynecurleylhdm,paynecurleylhdm,USC Union,2019-20,div1,uscunion,2020
5,Jacob Davis,2B,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/jacobdavism3ry,jacobdavism3ry,USC Union,2019-20,div1,uscunion,2020
6,Ben Weaver,RHP,So,https://www.njcaa.org/sports/bsb/2019-20/div1/players/benweaverf0it,benweaverf0it,USC Union,2019-20,div1,uscunion,2020
7,Max Necklen,OF,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/maxneckleng02m,maxneckleng02m,USC Union,2019-20,div1,uscunion,2020
8,Jackie Stroud,RHP/OF,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/jackiestroudie1e,jackiestroudie1e,USC Union,2019-20,div1,uscunion,2020
9,Eddie Green,OF,So,https://www.njcaa.org/sports/bsb/2019-20/div1/players/eddiegreen22y4,eddiegreen22y4,USC Union,2019-20,div1,uscunion,2020
10,Triston Fowler,RHP/C,So,https://www.njcaa.org/sports/bsb/2019-20/div1/players/tristonfowlerd1gs,tristonfowlerd1gs,USC Union,2019-20,div1,uscunion,2020
11,Patrick Agle,1B,So,https://www.njcaa.org/sports/bsb/2019-20/div1/players/patrickaglexbiv,patrickaglexbiv,USC Union,2019-20,div1,uscunion,2020
13,Genesis Augulo,2B,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/genesisaugulob4lf,genesisaugulob4lf,USC Union,2019-20,div1,uscunion,2020
14,Bryce Medlock,SS,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/brycemedlock5o1n,brycemedlock5o1n,USC Union,2019-20,div1,uscunion,2020
16,Nico Areizaga,RHP,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/nicoareizaga099r,nicoareizaga099r,USC Union,2019-20,div1,uscunion,2020
17,Matthew Hager,LHP,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/matthewhagerpi07,matthewhagerpi07,USC Union,2019-20,div1,uscunion,2020
19,Wesley Livingston,RHP,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/wesleylivingstona4jk,wesleylivingstona4jk,USC Union,2019-20,div1,uscunion,2020
20,Joah Nelson,3B,So,https://www.njcaa.org/sports/bsb/2019-20/div1/players/joahnelsonqe9n,joahnelsonqe9n,USC Union,2019-20,div1,uscunion,2020
21,Ethan Frasca,3B,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/ethanfrascaflot,ethanfrascaflot,USC Union,2019-20,div1,uscunion,2020
22,Chad Lessing,OF,So,https://www.njcaa.org/sports/bsb/2019-20/div1/players/chadlessingpf5m,chadlessingpf5m,USC Union,2019-20,div1,uscunion,2020
24,Jake Gilbert,C,So,https://www.njcaa.org/sports/bsb/2019-20/div1/players/jakegilbertsegx,jakegilbertsegx,USC Union,2019-20,div1,uscunion,2020
25,Austin Baal,LHP/1B,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/austinbaal5yff,austinbaal5yff,USC Union,2019-20,div1,uscunion,2020
26,Parker Jefferson,RHP,So,https://www.njcaa.org/sports/bsb/2019-20/div1/players/parkerjeffersonq6sf,parkerjeffersonq6sf,USC Union,2019-20,div1,uscunion,2020
27,Carter Lott,C,So,https://www.njcaa.org/sports/bsb/2019-20/div1/players/carterlottbotf,carterlottbotf,USC Union,2019-20,div1,uscunion,2020
28,Nick Bailey,3B,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/nickbaileyx042,nickbaileyx042,USC Union,2019-20,div1,uscunion,2020
30,Braydon Farmer,OF,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/braydonfarmerspv8,braydonfarmerspv8,USC Union,2019-20,div1,uscunion,2020
32,Hunter Taylor,RHP,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/huntertaylor8unw,huntertaylor8unw,USC Union,2019-20,div1,uscunion,2020
33,Eli McMullin,LHP,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/elimcmullinf6p1,elimcmullinf6p1,USC Union,2019-20,div1,uscunion,2020
34,Matthew Silka,RHP,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/matthewsilka28dq,matthewsilka28dq,USC Union,2019-20,div1,uscunion,2020
37,Chandler Northern,1B,Fr,https://www.njcaa.org/sports/bsb/2019-20/div1/players/chandlernorthern3j22,chandlernorthern3j22,USC Union,2019-20,div1,uscunion,2020
